Address,Latitude,Longitude,City,State,Type
24 Perkins Ct,33.6397952235035,-117.839124217442,Irvine,CA,Residential
93 Schubert Ct,33.6418462566268,-117.838077588606,Irvine,CA,Business
22 McClintock Ct,33.6348760574211,-117.840828903951,Irvine,CA,Residential
81 Schubert Ct,33.6420182118814,-117.838026575114,Irvine,CA,Business
48 Schubert Ct,33.6419496800796,-117.838211975114,Irvine,CA,Residential
16 Eliot Ct,33.6357298527228,-117.841783330687,Irvine,CA,Residential
24 Russell Ct,33.6412646174029,-117.840009073263,Irvine,CA,Residential
12 Frost,33.6394282172558,-117.834716188607,Irvine,CA,Residential
14 Thompson Ct,33.6406941187065,-117.839885799999,Irvine,CA,Residential
14 Murasaki St,33.6408421143217,-117.834675859771,Irvine,CA,Residential
1 Twain,33.6405953185835,-117.835451688607,Irvine,CA,Residential
1 Murasaki St,33.6413164694477,-117.836237290458,Irvine,CA,Residential
23 Murasaki St,33.6401537193624,-117.834243802099,Irvine,CA,Residential
18 Fuertes,33.6397337775047,-117.833811675115,Irvine,CA,Residential
12 Dickens Ct,33.6393616101785,-117.842597513492,Irvine,CA,Residential
12 Joyce Ct,33.6349373265739,-117.841530088607,Irvine,CA,Residential
24 Harvey Ct,33.6368769576101,-117.841981817443,Irvine,CA,Business
22 Perkins Ct,33.6399177446864,-117.839419286507,Irvine,CA,Residential
18 Joyce Ct,33.6351671893483,-117.841102203951,Irvine,CA,Residential
5 Dickens Ct,33.639274281482,-117.843508471164,Irvine,CA,Residential
34 Gabrielino Dr,33.6406442222703,-117.836023417442,Irvine,CA,Business
8 Owen Ct,33.6395569204151,-117.838588888607,Irvine,CA,Residential
61 Schubert Ct,33.6422107349256,-117.839580434638,Irvine,CA,Residential
24 Mendel Ct,33.6398221164385,-117.839836488607,Irvine,CA,Residential
14 Eliot Ct,33.6356560528644,-117.841877815343,Irvine,CA,Residential
12 Owen Ct,33.6396518202476,-117.838295617443,Irvine,CA,Residential
20 Perkins Ct,33.6400535480109,-117.839434184656,Irvine,CA,Residential
22 Whistler Ct,33.6358503246796,-117.840589873263,Irvine,CA,Residential
77 Whitman Ct,33.6365785581675,-117.838278334638,Irvine,CA,Business
14 Newton Ct,33.6391712921833,-117.839719744427,Irvine,CA,Residential
26 Los Trancos Dr,33.637693923701,-117.842965846279,Irvine,CA,Residential
2 Urey Ct,33.638507580685,-117.839045232787,Irvine,CA,Residential
6 Perkins Ct,33.6402352477187,-117.838341284656,Irvine,CA,Residential
5 Whistler Ct,33.6356009578004,-117.840040448131,Irvine,CA,Residential
5 Alcott Ct,33.6400298195809,-117.841688888607,Irvine,CA,Residential
16 Harvey Ct,33.6371650841669,-117.842679190459,Irvine,CA,Business
8 Thompson Ct,33.6410158950736,-117.839295998148,Irvine,CA,Residential
6 Alcott Ct,33.6403815152777,-117.841119146279,Irvine,CA,Residential
15 Virgil Ct,33.638642815752,-117.837433334638,Irvine,CA,Residential
2 Twain,33.6406263714526,-117.834926373263,Irvine,CA,Residential
28 Young,33.6371157719193,-117.841318326984,Irvine,CA,Residential
6 Dickens Ct,33.6396696236861,-117.843264588607,Irvine,CA,Residential
15 Zola Ct,33.6380078819812,-117.836841930935,Irvine,CA,Residential
27 Harvey Ct,33.63642761154,-117.842627830687,Irvine,CA,Business
7 Owen Ct,33.6392302854405,-117.83826330395,Irvine,CA,Residential
10 Russell Ct,33.6417410165625,-117.839220188606,Irvine,CA,Residential
10 McClintock Ct,33.6347069213506,-117.841254075115,Irvine,CA,Residential
17 Fuertes,33.6393452919486,-117.834117761622,Irvine,CA,Residential
139 Schubert Ct,33.6419747800301,-117.839647975115,Irvine,CA,Residential
109 Schubert Ct,33.6420298757311,-117.838130063474,Irvine,CA,Business
9 Zola Ct,33.6377781530571,-117.837150432786,Irvine,CA,Residential
15 Harvey Ct,33.63684152005,-117.842709388607,Irvine,CA,Business
7 Fuertes,33.6397238201206,-117.834991819294,Irvine,CA,Residential
14 Whistler Ct,33.6354020539975,-117.840652675115,Irvine,CA,Residential
76 Whitman Ct,33.6367355228431,-117.837972788607,Irvine,CA,Business
18 Virgil Ct,33.638848163588,-117.837662334638,Irvine,CA,Residential
24 Dickens Ct,33.6387299155441,-117.841823959771,Irvine,CA,Residential
6 Virgil Ct,33.638558589883,-117.838296330935,Irvine,CA,Residential
18 Dickens Ct,33.6391999433596,-117.84215540395,Irvine,CA,Residential
18 Whitman Ct,33.6371545570918,-117.839518461623,Irvine,CA,Business
11 Dickens Ct,33.6389567432952,-117.842931857671,Irvine,CA,Residential
18 Perkins Ct,33.6402868403287,-117.839329840476,Irvine,CA,Residential
2 Gibbs Ct,33.6384200101802,-117.843731661622,Irvine,CA,Residential
44 Schubert Ct,33.6418898399575,-117.83828364813,Irvine,CA,Residential
16 Handel Ct,33.635417856072,-117.841521303951,Irvine,CA,Residential
3 Murasaki St,33.6411304176396,-117.836048246279,Irvine,CA,Residential
131 Schubert Ct,33.6421150436081,-117.839972275114,Irvine,CA,Business
20 Fuertes,33.6396769063988,-117.833768963474,Irvine,CA,Residential
5 Zola Ct,33.6375632535255,-117.837277459771,Irvine,CA,Residential
16 Frost,33.6393833106294,-117.834363259771,Irvine,CA,Residential
9 Murasaki St,33.6408587219587,-117.835496488607,Irvine,CA,Residential
17 Murasaki St,33.6404364509629,-117.834813788607,Irvine,CA,Residential
25 Whistler Ct,33.6360201871361,-117.840196446279,Irvine,CA,Residential
1 Russell Ct,33.6413108734141,-117.838747030935,Irvine,CA,Residential
28 Urey Ct,33.6377743854443,-117.841406505802,Irvine,CA,Residential
14 Handel Ct,33.6353857193087,-117.841660775115,Irvine,CA,Residential
6 Frost,33.6395246848601,-117.835340076966,Irvine,CA,Residential
10 Twain,33.6397956773441,-117.83542770395,Irvine,CA,Residential
3 Owen Ct,33.6391344211602,-117.838583803951,Irvine,CA,Residential
4 Thompson Ct,33.640874853986,-117.839048561622,Irvine,CA,Residential
6 Blake Ct,33.640564879075,-117.841929988607,Irvine,CA,Residential
4 Fuertes,33.6401623157325,-117.835058905802,Irvine,CA,Residential
71 Whitman Ct,33.6371603192893,-117.838057203951,Irvine,CA,Residential
7 Russell Ct,33.6412004333507,-117.839307117442,Irvine,CA,Residential
1 Owen Ct,33.6390248923808,-117.838807034638,Irvine,CA,Residential
24 Young,33.6374677059313,-117.841326457671,Irvine,CA,Residential
5 Twain,33.6402378549776,-117.835608819294,Irvine,CA,Residential
10 Murasaki St,33.6409908217668,-117.835077819294,Irvine,CA,Residential
26 Harvey Ct,33.6366813605125,-117.841862817443,Irvine,CA,Business
4 Blake Ct,33.6406313147593,-117.84194040395,Irvine,CA,Residential
10 Gibbs Ct,33.6383903840383,-117.842990332786,Irvine,CA,Residential
12 Thompson Ct,33.6409597708768,-117.839685684656,Irvine,CA,Residential
28 Los Trancos Dr,33.6375673155278,-117.842974446279,Irvine,CA,Residential
68 Whitman Ct,33.6374116835274,-117.838398388607,Irvine,CA,Business
8 Twain,33.639817994838,-117.83529570395,Irvine,CA,Residential
101 Gabrielino Dr,33.6423021198619,-117.837126788606,Irvine,CA,Business
8 Gibbs Ct,33.6383940840299,-117.843071102099,Irvine,CA,Residential
135 Schubert Ct,33.6421034478494,-117.839321363474,Irvine,CA,Business
2 Thompson Ct,33.6409464500103,-117.83891674813,Irvine,CA,Residential
18 Gibbs Ct,33.6380603877467,-117.842357361623,Irvine,CA,Residential
15 Frost,33.6390530147732,-117.83478944813,Irvine,CA,Residential
16 Whistler Ct,33.6353595583264,-117.840784588607,Irvine,CA,Residential
17 Whitman Ct,33.6368021851082,-117.840880419294,Irvine,CA,Business
519 E Peltason Dr,33.6440719710697,-117.837613076966,Irvine,CA,Business
75 Whitman Ct,33.6367538877735,-117.838047290459,Irvine,CA,Business
8 Russell Ct,33.64168014864,-117.839066046279,Irvine,CA,Residential
4 Dickens Ct,33.6396873669517,-117.843234744179,Irvine,CA,Residential
10 Zola Ct,33.6381942228188,-117.837362890459,Irvine,CA,Residential
69 Whitman Ct,33.6372041796422,-117.838406073015,Irvine,CA,Business
10 Frost,33.6394577493978,-117.83497424813,Irvine,CA,Residential
22 Mendel Ct,33.6399793482615,-117.84004370395,Irvine,CA,Residential
9 Virgil Ct,33.6385160160546,-117.837661419294,Irvine,CA,Residential
3 Russell Ct,33.6412839454189,-117.838963946278,Irvine,CA,Residential
14 Harvey Ct,33.6371745516984,-117.842718417443,Irvine,CA,Residential
12 Murasaki St,33.6408886219154,-117.834911190458,Irvine,CA,Residential
2 Murasaki St,33.6413020302587,-117.83573236973,Irvine,CA,Residential
2 Dickens Ct,33.6394033698962,-117.843113377172,Irvine,CA,Residential
14 Zola Ct,33.6382471611086,-117.83705850416,Irvine,CA,Residential
22 Newton Ct,33.6389472377988,-117.839439090666,Irvine,CA,Residential
4 Murasaki St,33.6411954013454,-117.83553126183,Irvine,CA,Residential
22 Harvey Ct,33.6367883057849,-117.84208670416,Irvine,CA,Residential
2 Virgil Ct,33.6382247733227,-117.838519332995,Irvine,CA,Residential
39 Gabrielino Dr,33.640075541202,-117.83583370416,Irvine,CA,Business
8 Dickens Ct,33.6396360089923,-117.843426775324,Irvine,CA,Residential
18 Harvey Ct,33.6368647408703,-117.842382861831,Irvine,CA,Residential
22 Russell Ct,33.6412324413216,-117.840136290666,Irvine,CA,Residential
20 Whistler Ct,33.6356584755925,-117.84081700416,Irvine,CA,Residential
101 Schubert Ct,33.6424702414494,-117.83946396183,Irvine,CA,Business
201 Gabrielino Dr,33.6419422094697,-117.83689736183,Irvine,CA,Business
75 Schubert Ct,33.6421908414207,-117.83892976183,Irvine,CA,Business
16 Gibbs Ct,33.6380100733227,-117.84243790416,Irvine,CA,Residential
27 Murasaki St,33.6397867090234,-117.833805046489,Irvine,CA,Residential
2 Schubert Ct,33.6409521053514,-117.838353032995,Irvine,CA,Business
32 Harvey Ct,33.6358037035845,-117.842239190666,Irvine,CA,Business
117 Schubert Ct,33.6420968095017,-117.839894048337,Irvine,CA,Business
6 Owen Ct,33.6393636021059,-117.838799961831,Irvine,CA,Residential
20 Curie Ct,33.6393877020961,-117.841686519501,Irvine,CA,Residential
4 Twain,33.6403437942925,-117.835132161831,Irvine,CA,Residential
9 Alcott Ct,33.639866934043,-117.84131756183,Irvine,CA,Business
22 Alcott Ct,33.6395831376666,-117.84132016183,Irvine,CA,Residential
16 Curie Ct,33.6394736055053,-117.842078919501,Irvine,CA,Residential
9 Frost,33.6389233410829,-117.835148690666,Irvine,CA,Residential
133 Schubert Ct,33.6417922052638,-117.83993676183,Irvine,CA,Business
119 Schubert Ct,33.6421640052251,-117.839898804159,Irvine,CA,Business
97 Schubert Ct,33.6418658322769,-117.838064984499,Irvine,CA,Business
74 Whitman Ct,33.6368024356338,-117.837895561831,Irvine,CA,Residential
14 Virgil Ct,33.638674308793,-117.83782870416,Irvine,CA,Residential
115 Schubert Ct,33.6423405414362,-117.839755432995,Irvine,CA,Business
11 Zola Ct,33.6377208056877,-117.837043832995,Irvine,CA,Residential
87 Schubert Ct,33.642321373321,-117.83905780416,Irvine,CA,Business
137 Schubert Ct,33.6409277092596,-117.838150690666,Irvine,CA,Business
22 Dickens Ct,33.6387087701128,-117.84193536183,Irvine,CA,Residential
41 Gabrielino Dr,33.6400738090829,-117.835841232995,Irvine,CA,Business
95 Schubert Ct,33.6418244413828,-117.838050632995,Irvine,CA,Business
23 Harvey Ct,33.6363734733234,-117.842311861831,Irvine,CA,Business
8 Perkins Ct,33.6402555017357,-117.838557132995,Irvine,CA,Residential
16 Fuertes,33.6396074089863,-117.83398046183,Irvine,CA,Residential
83 Schubert Ct,33.6423075052102,-117.839088932995,Irvine,CA,Business
20 Harvey Ct,33.6367813408617,-117.842303432995,Irvine,CA,Business
14 Perkins Ct,33.6402844054209,-117.839044175324,Irvine,CA,Residential
5 Virgil Ct,33.6382320733226,-117.837885432995,Irvine,CA,Residential
8 Whistler Ct,33.6350703733238,-117.840266061831,Irvine,CA,Residential
18 Mendel Ct,33.6398262697646,-117.84042220416,Irvine,CA,Residential
35 Gabrielino Dr,33.6400599769604,-117.835841832995,Irvine,CA,Business
89 Schubert Ct,33.6422489733212,-117.839195490666,Irvine,CA,Business
14 Fuertes,33.6396807733221,-117.834177790666,Irvine,CA,Residential
72 Whitman Ct,33.6368334733233,-117.838139690666,Irvine,CA,Business
2 Russell Ct,33.6414737733213,-117.838524604159,Irvine,CA,Residential
51 Schubert Ct,33.6420510371537,-117.837837590666,Irvine,CA,Residential
16 Alcott Ct,33.6398047054707,-117.841077390666,Irvine,CA,Residential
2 Alcott Ct,33.6403326091364,-117.84123960416,Irvine,CA,Residential
6 Thompson Ct,33.6407974733216,-117.83921596183,Irvine,CA,Residential
8 Murasaki St,33.6409797772463,-117.835124146489,Irvine,CA,Residential
24 Los Trancos Dr,33.6377083733228,-117.843105861831,Irvine,CA,Residential
5 Fuertes,33.6396020768181,-117.835114232995,Irvine,CA,Residential
16 Dickens Ct,33.6389879410896,-117.842367832995,Irvine,CA,Residential
16 Newton Ct,33.6390329410942,-117.839708246489,Irvine,CA,Residential
16 Thompson Ct,33.6404708695638,-117.839882775324,Irvine,CA,Residential
18 Newton Ct,33.6390067766331,-117.839544061831,Irvine,CA,Residential
12 Russell Ct,33.6415088093799,-117.839423275324,Irvine,CA,Residential
5 Gabrielino Dr,33.6397923733219,-117.83666250416,Irvine,CA,Business
801 Gabrielino Dr,33.6415501413545,-117.836335732995,Irvine,CA,Business
18 Thompson Ct,33.6403043733219,-117.839774304159,Irvine,CA,Residential
9 Owen Ct,33.6391238411037,-117.838127290666,Irvine,CA,Residential
18 Frost,33.6390688055474,-117.834266790666,Irvine,CA,Residential
42 Schubert Ct,33.6416151372442,-117.838275990666,Irvine,CA,Residential
901 Gabrielino Dr,33.6417471094293,-117.836115546489,Irvine,CA,Business
12 Whistler Ct,33.6352108059492,-117.840537761831,Irvine,CA,Residential
2 Zola Ct,33.6376187409481,-117.837682632995,Irvine,CA,Residential
401 Gabrielino Dr,33.6419919733212,-117.837233132995,Irvine,CA,Business
53 Schubert Ct,33.6420762371483,-117.837910104159,Irvine,CA,Residential
2 Blake Ct,33.6404121412369,-117.84187660416,Irvine,CA,Residential
16 Virgil Ct,33.6386971410596,-117.837693775324,Irvine,CA,Residential
40 Urey Ct,33.6373510381305,-117.83675220416,Irvine,CA,Residential
107 Schubert Ct,33.642200673321,-117.839770132995,Irvine,CA,Business
10 Blake Ct,33.6404458412404,-117.842259575324,Irvine,CA,Residential
17 Dickens Ct,33.6386439410541,-117.842636019502,Irvine,CA,Residential
14 McClintock Ct,33.6344804406239,-117.841125461831,Irvine,CA,Residential
12 Zola Ct,33.6380587763384,-117.83719260416,Irvine,CA,Residential
10 Dickens Ct,33.6397291054787,-117.84359610416,Irvine,CA,Residential
26 Russell Ct,33.6409632733215,-117.840091932995,Irvine,CA,Residential
7 Whistler Ct,33.6354704385214,-117.839858432995,Irvine,CA,Residential
12 Alcott Ct,33.639966037587,-117.841070490666,Irvine,CA,Residential
105 Schubert Ct,33.6422101690218,-117.839486204159,Irvine,CA,Residential
30 Urey Ct,33.6369428382155,-117.837346532995,Irvine,CA,Residential
7 Twain,33.6398925054616,-117.835692732995,Irvine,CA,Residential
26 Perkins Ct,33.639776298404,-117.838994461831,Irvine,CA,Residential
49 Schubert Ct,33.6418629052565,-117.837745990666,Irvine,CA,Residential
20 Mendel Ct,33.639843009035,-117.840248861831,Irvine,CA,Residential
3 Virgil Ct,33.6381117733226,-117.83800330416,Irvine,CA,Residential
601 Gabrielino Dr,33.6415160733214,-117.83692876183,Irvine,CA,Business
1001 Gabrielino Dr,33.6419859052437,-117.836336432995,Irvine,CA,Business
10 Alcott Ct,33.6400352375727,-117.841013775324,Irvine,CA,Residential
20 Gibbs Ct,33.6376854085884,-117.842430632995,Irvine,CA,Residential
15 Whitman Ct,33.6370027057626,-117.83949700416,Irvine,CA,Business
18 Curie Ct,33.6394467020716,-117.841821617653,Irvine,CA,Residential
701 Gabrielino Dr,33.6415113413505,-117.836633461831,Irvine,CA,Business
1 Dickens Ct,33.6389328733224,-117.84325430416,Irvine,CA,Residential
9 Russell Ct,33.641164237338,-117.83953510416,Irvine,CA,Residential
4 Owen Ct,33.6392763089176,-117.83894650416,Irvine,CA,Residential
91 Schubert Ct,33.642328673321,-117.839319475324,Irvine,CA,Business
9 Gibbs Ct,33.6387476088082,-117.84397650416,Irvine,CA,Residential
24 Murasaki St,33.6402553054239,-117.83383050416,Irvine,CA,Residential
26 Gabrielino Dr,33.6403955412351,-117.836301232995,Irvine,CA,Business
10 Perkins Ct,33.6401756769963,-117.838756761831,Irvine,CA,Residential
18 Whistler Ct,33.6356461733236,-117.840958732995,Irvine,CA,Residential
22 Gibbs Ct,33.6375782409439,-117.842607075324,Irvine,CA,Residential
9 Dickens Ct,33.6393228733221,-117.843793075324,Irvine,CA,Residential
24 Whistler Ct,33.6357266384682,-117.840549961831,Irvine,CA,Residential
3 Zola Ct,33.6372757760951,-117.837496561831,Irvine,CA,Residential
12 Newton Ct,33.6390617088732,-117.839939390666,Irvine,CA,Residential
18 McClintock Ct,33.6345654367946,-117.840947032995,Irvine,CA,Residential
7 Zola Ct,33.6374634733229,-117.837199375324,Irvine,CA,Residential
7 Murasaki St,33.6408022733215,-117.83574480416,Irvine,CA,Residential
11 Frost,33.6389016055648,-117.834934032995,Irvine,CA,Residential
22 Murasaki St,33.6402993091296,-117.834107032995,Irvine,CA,Residential
16 Perkins Ct,33.6402300412181,-117.839272332995,Irvine,CA,Residential
123 Schubert Ct,33.6417847733212,-117.839775675324,Irvine,CA,Business
1101 Gabrielino Dr,33.6421559733211,-117.836518032995,Irvine,CA,Business
28 Harvey Ct,33.6365418382989,-117.841833461831,Irvine,CA,Residential
81 Whitman Ct,33.6362793359052,-117.83832540416,Irvine,CA,Business
26 Mendel Ct,33.6394433411368,-117.839914232995,Irvine,CA,Residential
6 Zola Ct,33.637877408628,-117.837622261831,Irvine,CA,Residential
8 Curie Ct,33.6401101733219,-117.843126232995,Irvine,CA,Residential
14 Blake Ct,33.6404879053997,-117.842475361831,Irvine,CA,Residential
24 Newton Ct,33.6388646410769,-117.839383661831,Irvine,CA,Residential
37 Gabrielino Dr,33.6400987054404,-117.835793517653,Irvine,CA,Business
7 Alcott Ct,33.6398292697635,-117.841845632995,Irvine,CA,Residential
4 Russell Ct,33.6414852093751,-117.838732890666,Irvine,CA,Residential
11 Russell Ct,33.6410684092889,-117.839714132995,Irvine,CA,Residential
15 Fuertes,33.6393524021107,-117.834323390666,Irvine,CA,Residential
6 Murasaki St,33.6410887053372,-117.835363661831,Irvine,CA,Residential
12 Virgil Ct,33.6386430733225,-117.837982661831,Irvine,CA,Residential
16 Russell Ct,33.6415270093837,-117.839811490666,Irvine,CA,Residential
70 Whitman Ct,33.6370866030517,-117.838335332995,Irvine,CA,Business
14 Curie Ct,33.6395363020343,-117.842247004159,Irvine,CA,Residential
6 Urey Ct,33.6382444702574,-117.839429461831,Irvine,CA,Residential
10 Owen Ct,33.6394529055075,-117.838481432995,Irvine,CA,Residential
3 Dickens Ct,33.6390292055516,-117.84339170416,Irvine,CA,Residential
5 Russell Ct,33.6411042132653,-117.839165604159,Irvine,CA,Residential
20 Dickens Ct,33.6387911733223,-117.842057432995,Irvine,CA,Residential
20 Russell Ct,33.6414302053016,-117.840081775324,Irvine,CA,Residential
15 Dickens Ct,33.6387331733224,-117.842782790666,Irvine,CA,Residential
4 Urey Ct,33.6382511410135,-117.839239890666,Irvine,CA,Residential
63 Schubert Ct,33.6421658733213,-117.838615990666,Irvine,CA,Residential
20 Murasaki St,33.6404294733217,-117.834249690666,Irvine,CA,Residential
25 Murasaki St,33.6398934054617,-117.83399170416,Irvine,CA,Residential
10 Virgil Ct,33.6385371410432,-117.838126932995,Irvine,CA,Residential
9 Fuertes,33.6395230376791,-117.834804661831,Irvine,CA,Residential
46 Schubert Ct,33.641770705266,-117.838191432995,Irvine,CA,Residential
28 Perkins Ct,33.6397842054729,-117.838822090666,Irvine,CA,Residential
6 Russell Ct,33.6414923733213,-117.838915632995,Irvine,CA,Residential
14 Alcott Ct,33.6398439768933,-117.841032175324,Irvine,CA,Residential
15 Owen Ct,33.6393053377243,-117.837761175324,Irvine,CA,Residential
8 Frost,33.6393331089295,-117.83507100416,Irvine,CA,Residential
2 Fuertes,33.6400968696802,-117.83519346183,Irvine,CA,Residential
12 Gibbs Ct,33.6381348410016,-117.842770075324,Irvine,CA,Residential
129 Schubert Ct,33.6419136691141,-117.83994480416,Irvine,CA,Business
30 Los Trancos Dr,33.6371425760536,-117.843147432995,Irvine,CA,Residential
8 Fuertes,33.6398863054624,-117.834613775324,Irvine,CA,Residential
18 Handel Ct,33.6352919059405,-117.841384161831,Irvine,CA,Residential
4 Zola Ct,33.6378019380368,-117.837778177173,Irvine,CA,Residential
16 Murasaki St,33.6406155695186,-117.834596019501,Irvine,CA,Residential
12 Eliot Ct,33.6354372407227,-117.842028732995,Irvine,CA,Residential
8 Zola Ct,33.6379880733227,-117.837479032995,Irvine,CA,Residential
8 Alcott Ct,33.6401863733218,-117.841114475324,Irvine,CA,Residential
525 E Peltason Dr,33.6441877099348,-117.837797132995,Irvine,CA,Business
11 Owen Ct,33.6392266377406,-117.837978661831,Irvine,CA,Residential
32 Twain,33.63865980559,-117.834966119502,Irvine,CA,Residential
